1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 660000004C8AD441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Oct 06 10:34:01 WAT 2017
Mission Sample Count:  1152
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Oct 06 10:34:01 WAT 2017
Total Mission Samples:  1152
Total Device Samples:  1765
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/6/17 10:34:01 AM,C,30.578
10/6/17 10:44:01 AM,C,29.079
10/6/17 10:54:01 AM,C,26.08
10/6/17 11:04:01 AM,C,25.58
10/6/17 11:14:01 AM,C,25.58
10/6/17 11:24:01 AM,C,25.58
10/6/17 11:34:01 AM,C,25.58
10/6/17 11:44:01 AM,C,25.58
10/6/17 11:54:01 AM,C,25.58
10/6/17 12:04:01 PM,C,25.58
10/6/17 12:14:01 PM,C,25.58
10/6/17 12:24:01 PM,C,25.58
10/6/17 12:34:01 PM,C,25.58
10/6/17 12:44:01 PM,C,25.58
10/6/17 12:54:01 PM,C,25.58
10/6/17 1:04:01 PM,C,25.58
10/6/17 1:14:01 PM,C,25.58
10/6/17 1:24:01 PM,C,25.58
10/6/17 1:34:01 PM,C,25.58
10/6/17 1:44:01 PM,C,25.58
10/6/17 1:54:01 PM,C,25.58
10/6/17 2:04:01 PM,C,25.58
10/6/17 2:14:01 PM,C,25.58
10/6/17 2:24:01 PM,C,25.58
10/6/17 2:34:01 PM,C,25.58
10/6/17 2:44:01 PM,C,25.58
10/6/17 2:54:01 PM,C,25.58
10/6/17 3:04:01 PM,C,25.58
10/6/17 3:14:01 PM,C,26.08
10/6/17 3:24:01 PM,C,26.08
10/6/17 3:34:01 PM,C,26.08
10/6/17 3:44:01 PM,C,26.58
10/6/17 3:54:01 PM,C,26.58
10/6/17 4:04:01 PM,C,26.58
10/6/17 4:14:01 PM,C,26.58
10/6/17 4:24:01 PM,C,26.58
10/6/17 4:34:01 PM,C,26.58
10/6/17 4:44:01 PM,C,26.58
10/6/17 4:54:01 PM,C,27.08
10/6/17 5:04:01 PM,C,27.08
10/6/17 5:14:01 PM,C,27.08
10/6/17 5:24:01 PM,C,27.08
10/6/17 5:34:01 PM,C,27.08
10/6/17 5:44:01 PM,C,27.08
10/6/17 5:54:01 PM,C,27.08
10/6/17 6:04:01 PM,C,27.08
10/6/17 6:14:01 PM,C,27.08
10/6/17 6:24:01 PM,C,27.08
10/6/17 6:34:01 PM,C,27.08
10/6/17 6:44:01 PM,C,27.08
10/6/17 6:54:01 PM,C,27.08
10/6/17 7:04:01 PM,C,27.08
10/6/17 7:14:01 PM,C,27.08
10/6/17 7:24:01 PM,C,27.08
10/6/17 7:34:01 PM,C,27.08
10/6/17 7:44:01 PM,C,27.08
10/6/17 7:54:01 PM,C,27.08
10/6/17 8:04:01 PM,C,27.08
10/6/17 8:14:01 PM,C,27.08
10/6/17 8:24:01 PM,C,27.08
10/6/17 8:34:01 PM,C,27.08
10/6/17 8:44:01 PM,C,27.08
10/6/17 8:54:01 PM,C,27.08
10/6/17 9:04:01 PM,C,27.08
10/6/17 9:14:01 PM,C,27.08
10/6/17 9:24:01 PM,C,27.08
10/6/17 9:34:01 PM,C,27.08
10/6/17 9:44:01 PM,C,27.08
10/6/17 9:54:01 PM,C,27.08
10/6/17 10:04:01 PM,C,27.08
10/6/17 10:14:01 PM,C,27.08
10/6/17 10:24:01 PM,C,27.08
10/6/17 10:34:01 PM,C,27.08
10/6/17 10:44:01 PM,C,27.08
10/6/17 10:54:01 PM,C,27.08
10/6/17 11:04:01 PM,C,27.08
10/6/17 11:14:01 PM,C,27.08
10/6/17 11:24:01 PM,C,27.08
10/6/17 11:34:01 PM,C,27.08
10/6/17 11:44:01 PM,C,27.08
10/6/17 11:54:01 PM,C,27.08
10/7/17 12:04:01 AM,C,27.08
10/7/17 12:14:01 AM,C,27.08
10/7/17 12:24:01 AM,C,27.08
10/7/17 12:34:01 AM,C,27.08
10/7/17 12:44:01 AM,C,27.08
10/7/17 12:54:01 AM,C,27.08
10/7/17 1:04:01 AM,C,27.08
10/7/17 1:14:01 AM,C,27.08
10/7/17 1:24:01 AM,C,27.08
10/7/17 1:34:01 AM,C,27.08
10/7/17 1:44:01 AM,C,27.08
10/7/17 1:54:01 AM,C,27.08
10/7/17 2:04:01 AM,C,27.58
10/7/17 2:14:01 AM,C,27.08
10/7/17 2:24:01 AM,C,27.58
10/7/17 2:34:01 AM,C,27.58
10/7/17 2:44:01 AM,C,27.58
10/7/17 2:54:01 AM,C,27.58
10/7/17 3:04:01 AM,C,27.58
10/7/17 3:14:01 AM,C,27.58
10/7/17 3:24:01 AM,C,27.58
10/7/17 3:34:01 AM,C,27.58
10/7/17 3:44:01 AM,C,27.58
10/7/17 3:54:01 AM,C,27.58
10/7/17 4:04:01 AM,C,27.58
10/7/17 4:14:01 AM,C,27.58
10/7/17 4:24:01 AM,C,27.58
10/7/17 4:34:01 AM,C,27.58
10/7/17 4:44:01 AM,C,27.58
10/7/17 4:54:01 AM,C,27.08
10/7/17 5:04:01 AM,C,27.08
10/7/17 5:14:01 AM,C,27.08
10/7/17 5:24:01 AM,C,27.58
10/7/17 5:34:01 AM,C,27.08
10/7/17 5:44:01 AM,C,27.08
10/7/17 5:54:01 AM,C,27.08
10/7/17 6:04:01 AM,C,27.08
10/7/17 6:14:01 AM,C,27.08
10/7/17 6:24:01 AM,C,27.08
10/7/17 6:34:01 AM,C,27.08
10/7/17 6:44:01 AM,C,27.08
10/7/17 6:54:01 AM,C,27.08
10/7/17 7:04:01 AM,C,27.08
10/7/17 7:14:01 AM,C,27.08
10/7/17 7:24:01 AM,C,27.08
10/7/17 7:34:01 AM,C,27.08
10/7/17 7:44:01 AM,C,27.08
10/7/17 7:54:01 AM,C,27.08
10/7/17 8:04:01 AM,C,27.08
10/7/17 8:14:01 AM,C,27.08
10/7/17 8:24:01 AM,C,27.08
10/7/17 8:34:01 AM,C,27.08
10/7/17 8:44:01 AM,C,28.08
10/7/17 8:54:01 AM,C,29.079
10/7/17 9:04:01 AM,C,29.579
10/7/17 9:14:01 AM,C,30.079
10/7/17 9:24:01 AM,C,30.578
10/7/17 9:34:01 AM,C,30.578
10/7/17 9:44:01 AM,C,30.578
10/7/17 9:54:01 AM,C,31.078
10/7/17 10:04:01 AM,C,31.078
10/7/17 10:14:01 AM,C,31.078
10/7/17 10:24:01 AM,C,31.078
10/7/17 10:34:01 AM,C,31.078
10/7/17 10:44:01 AM,C,31.577
10/7/17 10:54:01 AM,C,31.577
10/7/17 11:04:01 AM,C,31.577
10/7/17 11:14:01 AM,C,31.577
10/7/17 11:24:01 AM,C,31.577
10/7/17 11:34:01 AM,C,31.577
10/7/17 11:44:01 AM,C,30.578
10/7/17 11:54:01 AM,C,30.578
10/7/17 12:04:01 PM,C,30.578
10/7/17 12:14:01 PM,C,31.078
10/7/17 12:24:01 PM,C,31.078
10/7/17 12:34:01 PM,C,30.578
10/7/17 12:44:01 PM,C,30.578
10/7/17 12:54:01 PM,C,30.578
10/7/17 1:04:01 PM,C,30.079
10/7/17 1:14:01 PM,C,30.079
10/7/17 1:24:01 PM,C,30.079
10/7/17 1:34:01 PM,C,30.079
10/7/17 1:44:01 PM,C,30.079
10/7/17 1:54:01 PM,C,30.079
10/7/17 2:04:01 PM,C,30.079
10/7/17 2:14:01 PM,C,30.079
10/7/17 2:24:01 PM,C,30.079
10/7/17 2:34:01 PM,C,30.578
10/7/17 2:44:01 PM,C,30.578
10/7/17 2:54:01 PM,C,29.579
10/7/17 3:04:01 PM,C,29.079
10/7/17 3:14:01 PM,C,28.579
10/7/17 3:24:01 PM,C,28.579
10/7/17 3:34:01 PM,C,28.08
10/7/17 3:44:01 PM,C,28.08
10/7/17 3:54:01 PM,C,28.08
10/7/17 4:04:01 PM,C,28.08
10/7/17 4:14:01 PM,C,28.08
10/7/17 4:24:01 PM,C,28.08
10/7/17 4:34:01 PM,C,28.08
10/7/17 4:44:01 PM,C,28.08
10/7/17 4:54:01 PM,C,28.08
10/7/17 5:04:01 PM,C,28.08
10/7/17 5:14:01 PM,C,28.08
10/7/17 5:24:01 PM,C,28.08
10/7/17 5:34:01 PM,C,28.08
10/7/17 5:44:01 PM,C,27.58
10/7/17 5:54:01 PM,C,27.58
10/7/17 6:04:01 PM,C,27.58
10/7/17 6:14:01 PM,C,27.58
10/7/17 6:24:01 PM,C,27.58
10/7/17 6:34:01 PM,C,28.08
10/7/17 6:44:01 PM,C,27.58
10/7/17 6:54:01 PM,C,28.08
10/7/17 7:04:01 PM,C,28.08
10/7/17 7:14:01 PM,C,29.079
10/7/17 7:24:01 PM,C,28.08
10/7/17 7:34:01 PM,C,30.578
10/7/17 7:44:01 PM,C,43.058
10/7/17 7:54:01 PM,C,46.05
10/7/17 8:04:01 PM,C,34.574
10/7/17 8:14:01 PM,C,30.079
10/7/17 8:24:01 PM,C,29.579
10/7/17 8:34:01 PM,C,30.079
10/7/17 8:44:01 PM,C,30.079
10/7/17 8:54:01 PM,C,29.579
10/7/17 9:04:01 PM,C,30.079
10/7/17 9:14:01 PM,C,29.579
10/7/17 9:24:01 PM,C,29.579
10/7/17 9:34:01 PM,C,29.579
10/7/17 9:44:01 PM,C,29.079
10/7/17 9:54:01 PM,C,29.079
10/7/17 10:04:01 PM,C,29.579
10/7/17 10:14:01 PM,C,29.079
10/7/17 10:24:01 PM,C,29.079
10/7/17 10:34:01 PM,C,29.079
10/7/17 10:44:01 PM,C,29.079
10/7/17 10:54:01 PM,C,29.079
10/7/17 11:04:01 PM,C,29.079
10/7/17 11:14:01 PM,C,29.079
10/7/17 11:24:01 PM,C,29.079
10/7/17 11:34:01 PM,C,28.579
10/7/17 11:44:01 PM,C,28.579
10/7/17 11:54:01 PM,C,28.579
10/8/17 12:04:01 AM,C,28.579
10/8/17 12:14:01 AM,C,28.579
10/8/17 12:24:01 AM,C,28.579
10/8/17 12:34:01 AM,C,28.08
10/8/17 12:44:01 AM,C,28.579
10/8/17 12:54:01 AM,C,28.579
10/8/17 1:04:01 AM,C,28.579
10/8/17 1:14:01 AM,C,28.579
10/8/17 1:24:01 AM,C,28.08
10/8/17 1:34:01 AM,C,28.08
10/8/17 1:44:01 AM,C,28.08
10/8/17 1:54:01 AM,C,28.08
10/8/17 2:04:01 AM,C,28.08
10/8/17 2:14:01 AM,C,28.579
10/8/17 2:24:01 AM,C,28.08
10/8/17 2:34:01 AM,C,28.579
10/8/17 2:44:01 AM,C,28.579
10/8/17 2:54:01 AM,C,28.08
10/8/17 3:04:01 AM,C,28.08
10/8/17 3:14:01 AM,C,28.08
10/8/17 3:24:01 AM,C,28.08
10/8/17 3:34:01 AM,C,28.08
10/8/17 3:44:01 AM,C,28.08
10/8/17 3:54:01 AM,C,28.08
10/8/17 4:04:01 AM,C,28.08
10/8/17 4:14:01 AM,C,27.58
10/8/17 4:24:01 AM,C,28.08
10/8/17 4:34:01 AM,C,28.08
