Date.Time,Unit,Value
2016-11-13 11:09:44,C,30.6
2016-11-13 11:12:44,C,30.3
2016-11-13 11:15:44,C,28.6
2016-11-13 11:18:44,C,28.4
2016-11-13 11:21:44,C,28.6
2016-11-13 11:24:44,C,28.4
2016-11-13 11:27:44,C,29.3
2016-11-13 11:30:44,C,30.4
2016-11-13 11:33:44,C,30.7
2016-11-13 11:36:44,C,30.7
2016-11-13 11:39:44,C,30.8
2016-11-13 11:42:44,C,31
2016-11-13 11:45:44,C,31
2016-11-13 11:48:44,C,31.2
2016-11-13 11:51:44,C,31.1
2016-11-13 11:54:44,C,31.2
2016-11-13 11:57:44,C,31.5
2016-11-13 12:00:44,C,31.6
2016-11-13 12:03:44,C,31.7
2016-11-13 12:06:44,C,31.9
2016-11-13 12:09:44,C,31.9
2016-11-13 12:12:44,C,32
2016-11-13 12:15:44,C,32.1
2016-11-13 12:18:44,C,32.2
2016-11-13 12:21:44,C,32.2
2016-11-13 12:24:44,C,32.3
2016-11-13 12:27:44,C,32.4
2016-11-13 12:30:44,C,32.4
2016-11-13 12:33:44,C,32.4
2016-11-13 12:36:44,C,32.3
2016-11-13 12:39:44,C,32.5
2016-11-13 12:42:44,C,32.5
2016-11-13 12:45:44,C,32.3
2016-11-13 12:48:44,C,32.4
2016-11-13 12:51:44,C,32.4
2016-11-13 12:54:44,C,32.4
2016-11-13 12:57:44,C,32.6
2016-11-13 13:00:44,C,32.6
2016-11-13 13:03:44,C,32.4
2016-11-13 13:06:44,C,32.5
2016-11-13 13:09:44,C,32.5
2016-11-13 13:12:44,C,32.4
2016-11-13 13:15:44,C,32.4
2016-11-13 13:18:44,C,32.4
2016-11-13 13:21:44,C,32.4
2016-11-13 13:24:44,C,32.4
2016-11-13 13:27:44,C,32.4
2016-11-13 13:30:44,C,32.3
2016-11-13 13:33:44,C,32.3
2016-11-13 13:36:44,C,32.3
2016-11-13 13:39:44,C,32.3
2016-11-13 13:42:44,C,32.3
2016-11-13 13:45:44,C,32.2
2016-11-13 13:48:44,C,32.2
2016-11-13 13:51:44,C,32.2
2016-11-13 13:54:44,C,32.2
2016-11-13 13:57:44,C,32.2
2016-11-13 14:00:44,C,32.2
2016-11-13 14:03:44,C,32.2
2016-11-13 14:06:44,C,32.1
2016-11-13 14:09:44,C,32.1
2016-11-13 14:12:44,C,32.1
2016-11-13 14:15:44,C,32.1
2016-11-13 14:18:44,C,32.1
2016-11-13 14:21:44,C,32.1
2016-11-13 14:24:44,C,32.1
2016-11-13 14:27:44,C,32.1
2016-11-13 14:30:44,C,32.1
2016-11-13 14:33:44,C,32.1
2016-11-13 14:36:44,C,32.1
2016-11-13 14:39:44,C,32.1
2016-11-13 14:42:44,C,32.1
2016-11-13 14:45:44,C,32
2016-11-13 14:48:44,C,32
2016-11-13 14:51:44,C,32
2016-11-13 14:54:44,C,31.9
2016-11-13 14:57:44,C,31.9
2016-11-13 15:00:44,C,31.9
2016-11-13 15:03:44,C,31.8
2016-11-13 15:06:44,C,31.8
2016-11-13 15:09:44,C,31.8
2016-11-13 15:12:44,C,31.7
2016-11-13 15:15:44,C,31.7
2016-11-13 15:18:44,C,31.7
2016-11-13 15:21:44,C,31.7
2016-11-13 15:24:44,C,31.7
2016-11-13 15:27:44,C,31.6
2016-11-13 15:30:44,C,31.6
2016-11-13 15:33:44,C,31.6
2016-11-13 15:36:44,C,31.5
2016-11-13 15:39:44,C,31.5
2016-11-13 15:42:44,C,31.3
2016-11-13 15:45:44,C,31.2
2016-11-13 15:48:44,C,30.9
2016-11-13 15:51:44,C,30
2016-11-13 15:54:44,C,29.6
2016-11-13 15:57:44,C,29.1
2016-11-13 16:00:44,C,28.9
2016-11-13 16:03:44,C,28.6
2016-11-13 16:06:44,C,28.5
2016-11-13 16:09:44,C,28.5
2016-11-13 16:12:44,C,28.3
2016-11-13 16:15:44,C,27.9
2016-11-13 16:18:44,C,27.9
2016-11-13 16:21:44,C,27.7
2016-11-13 16:24:44,C,27.8
2016-11-13 16:27:44,C,27.5
2016-11-13 16:30:44,C,27.4
2016-11-13 16:33:44,C,27.5
2016-11-13 16:36:44,C,27.1
2016-11-13 16:39:44,C,27.2
2016-11-13 16:42:44,C,27.1
